Car title,Drive distance,Price,Link
Max Advanced Brakes Kia ,180000 km,100.0,https://www.kijiji.ca/v-cars-trucks/red-deer/max-advanced-brakes-kia/1722705354
Cadillac cts,112500 km,123.0,https://www.kijiji.ca/v-cars-trucks/red-deer/cadillac-cts/1730441156
process of selling your vehicle is simple!,677199 km,200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/process-of-selling-your-vehicle-is-simple/1720097794
using cash only ,368772 km,200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/using-cash-only/1723269147
Regardless of the condition of your car,232445 km,300.0,https://www.kijiji.ca/v-cars-trucks/red-deer/regardless-of-the-condition-of-your-car/1722470256
Wrangler duratrac LT285/60 R20,20000 km,350.0,https://www.kijiji.ca/v-cars-trucks/red-deer/wrangler-duratrac-lt285-60-r20/1729889018
You can keep the battery & all interior parts and I’ll still buy,697555 km,400.0,https://www.kijiji.ca/v-cars-trucks/red-deer/you-can-keep-the-battery-all-interior-parts-and-i-ll-still-buy/1730949421
2008 vw Jetta,342000 km,600.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-vw-jetta/1730094324
"drivable or not cars, Trucks, vans. we buy as is",353764 km,600.0,https://www.kijiji.ca/v-cars-trucks/red-deer/drivable-or-not-cars-trucks-vans-we-buy-as-is/1713526358
Chevrolet C/K Pickup 2500,1 km,700.0,https://www.kijiji.ca/v-cars-trucks/red-deer/chevrolet-c-k-pickup-2500/1726178166
2008 Mazda 5 full car or part out,330000 km,700.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-mazda-5-full-car-or-part-out/1731217349
2006 Dodge Caravan,398000 km,800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-dodge-caravan/1731500601
1966 International 1500 Grain Truck,49632 km,950.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1966-international-1500-grain-truck/1725360755
2006 Pontiac Torrent,336591 km,1000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-pontiac-torrent/1731092220
2006 VW Golf 1.9 tdi,435000 km,1000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-vw-golf-1-9-tdi/1729463559
2009 Mitsubishi lancer,200000 km,1000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2009-mitsubishi-lancer/1731487857
Mechanic special,270000 km,1000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/mechanic-special/1729012289
1988 F250 2WD,208000 km,1100.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1988-f250-2wd/1725698311
2008 Chevy 2500 Express Van for sale,483762 km,1155.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-chevy-2500-express-van-for-sale/1731168745
2004 Pontiac Grand Am,300765 km,1200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2004-pontiac-grand-am/1731318300
(Part out) 2003 Chevy Silverado,389000 km,1200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/part-out-2003-chevy-silverado/1729633194
2003 Chevy Avalanche,382290 km,1200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2003-chevy-avalanche/1731596081
Buying project cars running or not,123456 km,1234.0,https://www.kijiji.ca/v-cars-trucks/red-deer/buying-project-cars-running-or-not/1730222175
2009 Pontiac g5 for parts or whole,230000 km,1234.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2009-pontiac-g5-for-parts-or-whole/1729572120
2010 Genesis coupe parts,136000 km,1234.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2010-genesis-coupe-parts/1697208117
Bmw parts car or serious tcl,320000 km,1250.0,https://www.kijiji.ca/v-cars-trucks/red-deer/bmw-parts-car-or-serious-tcl/1731282000
2006 Chrysler PT Cruiser,239500 km,1300.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-chrysler-pt-cruiser/1731410524
Chevrolet Colorado,250000 km,1500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/chevrolet-colorado/1731553426
1997 Mecury XR7 Cougar 30th anniversary edition (project),201000 km,1500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1997-mecury-xr7-cougar-30th-anniversary-edition-project/1728510630
2005 Ford Escape(MECHANIC SPECIAL),205000 km,1500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2005-ford-escape-mechanic-special/1728393301
$1500 cheap winter/work car 09 Escape,300000 km,1500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1500-cheap-winter-work-car-09-escape/1731529138
1995 Dodge Stealth,206286 km,1500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1995-dodge-stealth/1722742347
2003 Chevy 2500 cargo van( for parts ),145000 km,1500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2003-chevy-2500-cargo-van-for-parts/1729857380
2000 Mercury Cougar 2.5L V6,231000 km,1600.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2000-mercury-cougar-2-5l-v6/1730394242
Van runs and drives. ,296000 km,1700.0,https://www.kijiji.ca/v-cars-trucks/red-deer/van-runs-and-drives/1731529201
2007 Jeep patriot,302659 km,1800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-jeep-patriot/1731618132
2010 ford fusion,291000 km,2000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2010-ford-fusion/1729087469
Suzuki swift,200000 km,2000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/suzuki-swift/1731328012
2009 GMC acadia,210106 km,2000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2009-gmc-acadia/1722286720
Volvo v70,360 km,2000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/volvo-v70/1730437057
A good little car,2461122 km,2000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/a-good-little-car/1728772266
2009 Chevrolet Silverado 4x4,300000 km,2000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2009-chevrolet-silverado-4x4/1731386578
2003 f-150 heritage,320000 km,2000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2003-f-150-heritage/1723765584
2001 GMC 2500HD Gas 6.0,640000 km,2200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2001-gmc-2500hd-gas-6-0/1724261013
 Dodge Gavan 2010,270 km,2200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/dodge-gavan-2010/1730860748
2010 Chevy 2500 Van for sale,428484 km,2205.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2010-chevy-2500-van-for-sale/1731040306
1995 Toyota 4Runner SSR-X Hilux Surf,410500 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1995-toyota-4runner-ssr-x-hilux-surf/1730990954
Mechanics special or parts-04 f150,300000 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/mechanics-special-or-parts-04-f150/1729957920
2000 GMC JIMMY need gone,250000 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2000-gmc-jimmy-need-gone/1731310128
2005 Jeep Liberty ,262311 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2005-jeep-liberty/1730436132
2004 GMC sierra c3,410000 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2004-gmc-sierra-c3/1729380874
2005 Chevy Epica,312554 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2005-chevy-epica/1730117371
2009 Dodge avenger,260000 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2009-dodge-avenger/1730200220
Dodge 1500 4x4 v8 magnum ,270000 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/dodge-1500-4x4-v8-magnum/1731503481
1998 intrepid ,180000 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1998-intrepid/1730267912
2007 GMC 2500 4x4,330325 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-gmc-2500-4x4/1731530261
2008 Pontiac G5 with spare set of winter tires and wheels,397357 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2008-pontiac-g5-with-spare-set-of-winter-tires-and-wheels/1729765521
Mitsubishi Outlander,366736 km,2500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/mitsubishi-outlander/1730204777
2007 Ford edge,226000 km,2800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-ford-edge/1730688288
1993 Chrysler Concorde,153 km,2850.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1993-chrysler-concorde/1731119630
Mitsubishi lancer gts none cvt transmission ,330000 km,2900.0,https://www.kijiji.ca/v-cars-trucks/red-deer/mitsubishi-lancer-gts-none-cvt-transmission/1729638515
Dodge 1500 2005 4.7L,144000 km,2900.0,https://www.kijiji.ca/v-cars-trucks/red-deer/dodge-1500-2005-4-7l/1727188606
Dodge D250 ,100 km,2900.0,https://www.kijiji.ca/v-cars-trucks/red-deer/dodge-d250/1731238147
2006 dodge grand caravan,208000 km,3000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-dodge-grand-caravan/1729064464
Great family van for sale low km Ford Windstar,215 km,3000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/great-family-van-for-sale-low-km-ford-windstar/1731618294
1986 Nissan 300ZX,262000 km,3000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1986-nissan-300zx/1720119226
White 2013 BMW x 6 35i,300000 km,3000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/white-2013-bmw-x-6-35i/1730479819
2007 Tacoma for parts  - Sold-,360000 km,3000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-tacoma-for-parts-sold/1731469241
Mazda Mazda 3 Sport,266900 km,3000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/mazda-mazda-3-sport/1731455373
ford powerstroke transmission ,100 km,3000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/ford-powerstroke-transmission/1729831413
Subaru Impreza,278000 km,3000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/subaru-impreza/1729939834
2006 audi a3,211715 km,3200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-audi-a3/1731041981
BMW e39it wagon,385000 km,3200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/bmw-e39it-wagon/1725602752
Ford Probe GT - 1993,294473 km,3200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/ford-probe-gt-1993/1729078519
2001 Chevy 1500 z71,364000 km,3300.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2001-chevy-1500-z71/1731478389
2006 Hyundai Santa Fe AWD-$ 3400,235000 km,3400.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-hyundai-santa-fe-awd-3400/1729735084
2000 vw jetta ,350000 km,3500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2000-vw-jetta/1729888928
2006 Honda Civic Coupe Manual,295000 km,3500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2006-honda-civic-coupe-manual/1728980350
Chevrolet Equinox,310255 km,3500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/chevrolet-equinox/1729772795
2013 dodge dart,292787 km,3500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2013-dodge-dart/1729677810
FOR SALE: 2009 Dodge/Ram Journey SXT 4DR 2WD,274000 km,3500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/for-sale:-2009-dodge-ram-journey-sxt-4dr-2wd/1730511508
Vehicle for sale,332103 km,3500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/vehicle-for-sale/1731493257
